region,transportation_type,variable,value,pred_group_1,pred_group_2,pred_group_3,pred_group_4,pred_group_5,pred_group_6,pred_group_7,pred_group_8,pred_group_9,pred_group_10,pred_group_11,pred_group_12,pred_group_13,pred_group_14,pred_group_15,pred_group_16,pred_group_17,pred_group_18,pred_group_19,pred_group_20,pred_group_21,pred_group_22,pred_group_24,pred_group_25,pred_group_26,pred_group_27,pred_group_28,pred_group_29
Brazil,walking,2021-08-18,125.41,122.8094451,116.685456786774,142.723889440641,129.504242198182,114.021891923241,125,98.9937732395439,108.03703039574,154.807316722664,113.8924431,181.593290922482,128.193283986214,139.300835170023,103.620298,119.5852919,154.356913760779,125.972915930881,110.326120759144,93.5715919681401,113.390092380166,100.719416531766,111.817634432726,98.4030147547242,125.877981160783,122.0096823,119.047941035333,139.7877,158.522934774452
Brazil,walking,2021-08-19,128.21,123.234768,135.760041660937,145.502609425164,132.341243196449,116.640798095284,125,99.0835890386571,114.607949267481,157.497377802807,113.8924431,181.271561272,128.985782776266,141.179648873116,101.2905515,119.411614,157.53421131822,128.790269737886,115.457232101176,92.6559366361738,127.877328314811,101.660208812194,109.991205839594,98.4030147547242,127.530324168775,121.0869873,118.969856422393,111.4909,162.592814032291
Brazil,walking,2021-08-20,144.62,136.705472,116.554105442868,152.069173465412,141.509226821398,117.766629257336,123,99.1336506016555,126.699505012967,165.515040691704,114.0775634,191.808417463127,144.045141778264,152.378464715391,106.546973,119.4542244,162.152140020662,131.607623544891,129.018196924656,97.5212478953576,130.149141827498,113.413621973799,128.382816103625,112.204732440201,140.157466400702,123.3435732,119.07528430866,116.3677,170.983411448227
Brazil,walking,2021-08-21,149.57,141.62284,134.517264649297,155.430407195674,143.077671122438,119.73925127554,138,101.831375432465,123.334180421262,168.936805970217,126.0564596,192.255387953539,141.674505328665,144.508923568653,111.8033945,120.1707804,167.234453187214,134.424977351896,138.613954945429,85.4786216746032,91.8787313209167,112.892989678924,124.378382752917,112.204732440201,142.396321881736,121.667659,119.32116309118,121.2445,175.988098795381
Brazil,walking,2021-08-22,95.65,83.57059054,117.476556601598,139.393198956952,126.589899593431,132.712425743187,144,98.8734602507783,86.472203077025,152.45750849421,126.7259159,152.320176661679,97.3960641559714,111.764146150796,117.059816,119.6742883,151.937615383426,117.520854509866,46.0435038927704,75.4280799992784,110.800121220401,81.8180118658093,88.8509464037092,98.4030147547242,116.335794584287,123.4002134,119.59650171023,124.1935,116.570902775137
Brazil,walking,2021-08-23,120.29,118.9704005,105.647962122727,141.502563030595,129.479822385852,136.832925370964,77.7,98.932205692033,115.723527707885,154.291822840014,96.51597208,177.138077852857,112.233074041084,132.393727767088,85.52128705,119.7133928,153.320860497724,120.338208316871,110.496183101702,85.6751724301445,119.933708496886,96.1149024717698,117.120056026234,98.4030147547242,115.630981877283,122.1705497,119.474180284695,129.0703,157.599336424074
Brazil,walking,2021-08-24,121.79,123.0705144,118.647356970557,142.523369536381,131.120933205237,99.9803052221882,120,98.9825027501606,117.174647295916,155.922257426368,111.53489,182.538151894508,129.260556153306,142.103477308253,90.77770854,119.5998549,154.225790713609,123.155562123876,124.770940741605,89.3888312779633,119.809708451214,99.8357423473223,123.084027977715,98.4030147547242,122.962727102748,119.789245,119.462686214163,133.9471,159.485116082203
Brazil,walking,2021-08-25,123.22,122.8094451,116.409642827694,142.723889440641,132.041302265847,115.442246497645,126,99.0467563842459,117.885018103618,162.638068328773,113.3803262,183.138530602308,130.175935756756,142.472195317938,96.03413004,119.5852919,155.327934773917,125.972915930881,109.371145105195,91.2721550081221,119.179535179105,99.5831545071577,123.424765612824,98.4030147547242,126.411072092645,119.4022237,119.488662708019,138.8238,161.652198003093
Brazil,walking,2021-08-26,122.77,123.234768,134.716064920794,145.502609425164,134.913937861468,118.124985507447,125,98.9288530538861,116.328391230233,165.328129408916,113.8924431,182.757654831485,130.779732040749,160.0004501448,101.2905515,119.411614,158.474691363764,128.790269737886,107.77163249649,92.924092439318,134.291171760746,100.996634033201,108.847581313247,98.4030147547242,130.147618634628,123.0456388,119.41057809477,110.5271,125.468665209697
Brazil,walking,2021-08-27,137.67,136.705472,119.558664695936,152.069173465412,144.127328332008,119.29134320499,123,98.8660264039278,136.327126648793,173.345792297813,114.0775634,193.237628799321,145.842530245142,166.580376710262,106.546973,119.4542244,163.074750552976,131.607623544891,120.991160584677,98.7195160620243,140.938785007576,113.189169591421,137.866154345831,112.204732440201,141.538184816943,122.8020453,119.516005980722,115.4038,135.329860397701
